1721276644.769273,m,press
1721276644.828844,'m',release
1721276644.8583171,a,press
1721276644.950399,'a',release
1721276645.5856152,c,press
1721276645.6850429,'c',release
1721276646.134474,b,press
1721276646.1976802,'b',release
1721276646.4441202,o,press
1721276646.497638,'o',release
1721276646.60449,o,press
1721276646.6716402,'o',release
1721276646.839394,k,press
1721276646.901199,'k',release
1721276651.170294,.,press
1721276651.2517571,'.',release
1721276651.420607,m,press
1721276651.493922,'m',release
1721276651.587605,d,press
1721276651.6907258,'d',release
1721276652.0091588,Key.enter,press
1721276652.089967,Key.enter,release
1721276654.5539489,1,press
1721276654.6918159,'1',release
1721276655.5495858,2,press
1721276655.671218,'2',release
1721276656.9385002,3,press
1721276657.058999,'3',release
1721276658.109453,4,press
1721276658.222592,'4',release
1721276659.382435,5,press
1721276659.4994612,'5',release
1721276660.496642,6,press
1721276660.615175,'6',release
1721276661.696735,7,press
1721276661.797726,'7',release
1721276662.7194471,8,press
1721276662.8236558,'8',release
1721276664.0636091,9,press
1721276664.1893818,'9',release
1721276669.8270469,0,press
1721276669.9445078,'0',release
1721276672.955521,q,press
1721276673.11536,'q',release
1721276673.512872,w,press
1721276673.611712,'w',release
1721276674.37697,e,press
1721276674.490363,'e',release
1721276674.941199,r,press
1721276675.04971,'r',release
1721276675.394623,t,press
1721276675.5037482,'t',release
1721276675.806817,y,press
1721276675.923933,'y',release
1721276677.0804942,`,press
1721276677.173097,'`',release
1721276679.484025,Key.shift,press
1721276680.532354,~,press
1721276680.669325,'~',release
1721276682.039016,Key.shift,release
1721276687.990885,-,press
1721276688.092777,'-',release
1721276689.007423,=,press
1721276689.123096,'=',release
1721276692.265835,[,press
1721276692.42831,'[',release
1721276692.9436958,],press
1721276693.064956,']',release
1721276693.4482088,\,press
1721276693.558413,'\\',release
1721276695.217259,\,press
1721276695.298789,'\\',release
1721276697.37869,\,press
1721276697.4591842,'\\',release
1721276700.535378,\,press
1721276700.62729,'\\',release
1721276709.255452,;,press
1721276709.338655,';',release
1721276709.8921459,',press
1721276709.991952,"""'""",release
1721276712.1352682,.,press
1721276712.225777,'.',release
1721276712.651127,/,press
1721276712.746269,'/',release
1721276713.799351,",",press
1721276713.88121,"','",release
1721276714.324357,.,press
1721276714.405382,'.',release
1721276718.554834,/,press
1721276718.632249,'/',release
1721276719.250593,',press
1721276719.35357,"""'""",release
1721276719.8372009,;,press
1721276719.928373,';',release
1721276721.273812,Key.ctrl,press
1721276721.4175448,Key.ctrl,release
1721276722.81933,Key.shift,press
1721276723.01565,?,press
1721276723.1045198,'?',release
1721276723.312319,Key.shift,release
1721276737.05736,Key.cmd,press
1721276737.250158,a,press
1721276737.3634298,'a',release
1721276737.467414,Key.cmd,release
1721276738.2739358,Key.cmd,press
1721276738.333856,c,press
1721276738.3853362,Key.cmd,release
1721276738.4698849,'c',release
1721276743.7981389,Key.cmd,press
1721276743.838758,v,press
1721276743.898939,Key.cmd,release
1721276743.979517,'v',release
1721276750.1143959,Key.backspace,press
1721276750.188172,Key.backspace,release
1721276751.349974,2,press
1721276751.437954,'2',release
1721276751.51279,0,press
1721276751.584141,'0',release
1721276751.6495109,2,press
1721276751.7249558,'2',release
1721276752.396061,4,press
1721276752.455043,'4',release
1721276752.609697,0,press
1721276752.688352,'0',release
1721276752.948718,7,press
1721276753.024359,'7',release
1721276753.1230578,1,press
1721276753.228031,'1',release
1721276753.303585,7,press
1721276753.3669078,'7',release
1721276756.657679,Key.space,press
1721276756.736083,Key.space,release
1721276757.078829,2,press
1721276757.145108,'2',release
1721276757.288747,1,press
1721276757.340241,'1',release
1721276757.662495,Key.shift,press
1721276757.876683,:,press
1721276757.967596,':',release
1721276757.993072,Key.shift,release
1721276758.2087848,2,press
1721276758.285269,'2',release
1721276758.478837,5,press
1721276758.5496168,'5',release
1721276759.250106,Key.space,press
1721276759.349849,Key.space,release
1721276759.4214652,Key.shift,press
1721276759.570266,P,press
1721276759.662039,'P',release
1721276759.782329,T,press
1721276759.882093,'T',release
1721276760.049728,Key.shift,release
1721276760.331728,Key.cmd,press
1721276760.572793,s,press
1721276760.706321,'s',release
1721276760.847184,Key.cmd,release
1721276768.230686,Key.space,press
1721276768.3322618,Key.space,release
1721276768.350462,f,press
1721276768.426807,'f',release
1721276768.544936,r,press
1721276768.6045,'r',release
1721276768.6389382,o,press
1721276768.69111,m,press
1721276768.726491,'o',release
1721276768.782738,'m',release
1721276768.8781161,Key.space,press
1721276768.966321,Key.space,release
1721276769.116885,Key.shift,press
1721276769.2064362,Y,press
1721276769.268522,'Y',release
1721276769.309258,Key.shift,release
1721276769.352951,i,press
1721276769.4253209,'i',release
1721276769.536109,y,press
1721276769.612332,'y',release
1721276770.231301,u,press
1721276770.262146,'u',release
1721276770.390644,n,press
1721276770.433425,'n',release
1721276770.647415,Key.space,press
1721276770.723082,Key.space,release
1721276770.734734,Key.shift,press
1721276770.8713799,C,press
1721276770.903548,Key.shift,release
1721276770.986306,'c',release
1721276771.042253,h,press
1721276771.0940318,'h',release
1721276771.1771321,e,press
1721276771.241007,'e',release
